Added Component: Designator=U2(LGA110C80P14X11_1200X930X350 -Back View)
Added Pin To Net: NetName=GND Pin=U2-1
Added Pin To Net: NetName=NetC37_1 Pin=U2-2
Added Pin To Net: NetName=2.9V Pin=U2-3
Added Pin To Net: NetName=NetC39_1 Pin=U2-4
Added Pin To Net: NetName=2.9V Pin=U2-5
Added Pin To Net: NetName=2.9V Pin=U2-6
Added Pin To Net: NetName=2.9V Pin=U2-7
Added Pin To Net: NetName=2.9V Pin=U2-8
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=GND Pin=U2-10
Added Pin To Net: NetName=GND Pin=U2-11
Added Pin To Net: NetName=NetC38_1 Pin=U2-12
Added Pin To Net: NetName=GND Pin=U2-13
Added Pin To Net: NetName=GND Pin=U2-14
Added Pin To Net: NetName=GND Pin=U2-15
Added Pin To Net: NetName=GND Pin=U2-16
Added Pin To Net: NetName=GND Pin=U2-19
Added Pin To Net: NetName=GND Pin=U2-20
Added Pin To Net: NetName=GND Pin=U2-21
Added Pin To Net: NetName=GND Pin=U2-22
Added Pin To Net: NetName=GND Pin=U2-23
Added Pin To Net: NetName=GND Pin=U2-24
Added Pin To Net: NetName=GND Pin=U2-25
Added Pin To Net: NetName=NetC40_1 Pin=U2-27
Added Pin To Net: NetName=D1B Pin=U2-28
Added Pin To Net: NetName=D0B Pin=U2-29
Added Pin To Net: NetName=GND Pin=U2-30
Added Pin To Net: NetName=GND Pin=U2-31
Added Pin To Net: NetName=GND Pin=U2-32
Added Pin To Net: NetName=GND Pin=U2-33
Added Pin To Net: NetName=GND Pin=U2-34
Added Pin To Net: NetName=GND Pin=U2-35
Added Pin To Net: NetName=GND Pin=U2-36
Added Pin To Net: NetName=GND Pin=U2-37
Added Pin To Net: NetName=1.2V Pin=U2-38
Added Pin To Net: NetName=NetU2_39 Pin=U2-39
Added Pin To Net: NetName=NetU2_40 Pin=U2-40
Added Pin To Net: NetName=GND Pin=U2-41
Added Pin To Net: NetName=1.2V Pin=U2-42
Added Pin To Net: NetName=GND Pin=U2-43
Added Pin To Net: NetName=GND Pin=U2-44
Added Pin To Net: NetName=GND Pin=U2-45
Added Pin To Net: NetName=1.2V Pin=U2-46
Added Pin To Net: NetName=GND Pin=U2-47
Added Pin To Net: NetName=GND Pin=U2-48
Added Pin To Net: NetName=NetU2_50 Pin=U2-50
Added Pin To Net: NetName=NetU2_51 Pin=U2-51
Added Pin To Net: NetName=GND Pin=U2-53
Added Pin To Net: NetName=NetJ8_1 Pin=U2-55
Added Pin To Net: NetName=SCL1.8V Pin=U2-56
Added Pin To Net: NetName=XCE Pin=U2-57
Added Pin To Net: NetName=NetU2_58 Pin=U2-58
Added Pin To Net: NetName=NetU2_59 Pin=U2-59
Added Pin To Net: NetName=SDA1.8V Pin=U2-60
Added Pin To Net: NetName=FRAME_VALID Pin=U2-61
Added Pin To Net: NetName=NetU2_62 Pin=U2-62
Added Pin To Net: NetName=NetU2_63 Pin=U2-63
Added Pin To Net: NetName=OMODE Pin=U2-64
Added Pin To Net: NetName=NetU2_66 Pin=U2-66
Added Pin To Net: NetName=D10G Pin=U2-67
Added Pin To Net: NetName=GND Pin=U2-68
Added Pin To Net: NetName=GND Pin=U2-69
Added Pin To Net: NetName=1.2V Pin=U2-70
Added Pin To Net: NetName=1.2V Pin=U2-71
Added Pin To Net: NetName=1.2V Pin=U2-72
Added Pin To Net: NetName=1.2V Pin=U2-73
Added Pin To Net: NetName=GND Pin=U2-74
Added Pin To Net: NetName=XCLR Pin=U2-75
Added Pin To Net: NetName=GND Pin=U2-79
Added Pin To Net: NetName=GND Pin=U2-80
Added Pin To Net: NetName=GND Pin=U2-81
Added Pin To Net: NetName=GND Pin=U2-82
Added Pin To Net: NetName=GND Pin=U2-83
Added Pin To Net: NetName=GND Pin=U2-84
Added Pin To Net: NetName=GND Pin=U2-85
Added Pin To Net: NetName=LINE_VALID Pin=U2-86
Added Pin To Net: NetName=GND Pin=U2-87
Added Pin To Net: NetName=1.8V Pin=U2-88
Added Pin To Net: NetName=GND Pin=U2-89
Added Pin To Net: NetName=GND Pin=U2-90
Added Pin To Net: NetName=GND Pin=U2-91
Added Pin To Net: NetName=GND Pin=U2-92
Added Pin To Net: NetName=GND Pin=U2-93
Added Pin To Net: NetName=GND Pin=U2-94
Added Pin To Net: NetName=GND Pin=U2-95
Added Pin To Net: NetName=GND Pin=U2-96
Added Pin To Net: NetName=GND Pin=U2-97
Added Pin To Net: NetName=1.2V Pin=U2-98
Added Pin To Net: NetName=GND Pin=U2-99
Added Pin To Net: NetName=GND Pin=U2-100
Added Pin To Net: NetName=GND Pin=U2-106
Added Pin To Net: NetName=INCK Pin=U2-107
Added Pin To Net: NetName=GND Pin=U2-108
Added Pin To Net: NetName=GND Pin=U2-114
Added Member To Class: ClassName=IMX291 Member=Component U2 IMX291
